GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
Oahu_OnshoreWind_OnWind_408	2017	2309475.441	27400
Oahu_OnshoreWind_OnWind_409	2017	2309475.441	27400
Oahu_OnshoreWind_OnWind_410	2017	2309475.441	27400
Oahu_OnshoreWind_OnWind_501	2017	2309475.441	27400
Oahu_OnshoreWind_OnWind_502	2017	2309475.441	27400
Oahu_OnshoreWind_OnWind_503	2017	2309475.441	27400
Oahu_OnshoreWind_OnWind_504	2017	2309475.441	27400
Oahu_OnshoreWind_OnWind_505	2017	2309475.441	27400
Oahu_OnshoreWind_OnWind_506	2017	2309475.441	27400
Oahu_OnshoreWind_OnWind_507	2017	2309475.441	27400
Oahu_OnshoreWind_OnWind_508	2017	2309475.441	27400
Oahu_OnshoreWind_OnWind_509	2017	2309475.441	27400
Oahu_OnshoreWind_OnWind_Kahuku	2017	2309475.441	27400
Oahu_OnshoreWind_OnWind_Kawailoa	2017	2309475.441	27400
