GENERATION_PROJECT	build_year	gen_predetermined_cap
Oahu_OnshoreWind_OnWind_408	2040	0
Oahu_OnshoreWind_OnWind_409	2020	0
Oahu_OnshoreWind_OnWind_409	2022	0
Oahu_OnshoreWind_OnWind_409	2025	0
Oahu_OnshoreWind_OnWind_409	2030	0
Oahu_OnshoreWind_OnWind_409	2035	0
Oahu_OnshoreWind_OnWind_409	2040	0
Oahu_OnshoreWind_OnWind_410	2020	0
Oahu_OnshoreWind_OnWind_410	2022	0
Oahu_OnshoreWind_OnWind_410	2025	0
Oahu_OnshoreWind_OnWind_410	2030	0
Oahu_OnshoreWind_OnWind_410	2035	0
Oahu_OnshoreWind_OnWind_410	2040	0
Oahu_OnshoreWind_OnWind_501	2020	242.5
Oahu_OnshoreWind_OnWind_501	2022	0
Oahu_OnshoreWind_OnWind_501	2025	0
Oahu_OnshoreWind_OnWind_501	2030	0
Oahu_OnshoreWind_OnWind_501	2035	0
Oahu_OnshoreWind_OnWind_501	2040	0
Oahu_OnshoreWind_OnWind_502	2020	0
Oahu_OnshoreWind_OnWind_502	2022	0
Oahu_OnshoreWind_OnWind_502	2025	0
Oahu_OnshoreWind_OnWind_502	2030	0
Oahu_OnshoreWind_OnWind_502	2035	0
Oahu_OnshoreWind_OnWind_502	2040	0
Oahu_OnshoreWind_OnWind_503	2020	117.5
Oahu_OnshoreWind_OnWind_503	2022	0
Oahu_OnshoreWind_OnWind_503	2025	0
Oahu_OnshoreWind_OnWind_503	2030	0
Oahu_OnshoreWind_OnWind_503	2035	0
Oahu_OnshoreWind_OnWind_503	2040	0
Oahu_OnshoreWind_OnWind_504	2020	0
Oahu_OnshoreWind_OnWind_504	2022	0
Oahu_OnshoreWind_OnWind_504	2025	0
Oahu_OnshoreWind_OnWind_504	2030	0
Oahu_OnshoreWind_OnWind_504	2035	0
Oahu_OnshoreWind_OnWind_504	2040	0
Oahu_OnshoreWind_OnWind_505	2020	15.44036107
Oahu_OnshoreWind_OnWind_505	2022	0
Oahu_OnshoreWind_OnWind_505	2025	0
Oahu_OnshoreWind_OnWind_505	2030	0
Oahu_OnshoreWind_OnWind_505	2035	0
Oahu_OnshoreWind_OnWind_505	2040	27.05963893
Oahu_OnshoreWind_OnWind_506	2020	7.5
Oahu_OnshoreWind_OnWind_506	2022	0
Oahu_OnshoreWind_OnWind_506	2025	0
Oahu_OnshoreWind_OnWind_506	2030	0
Oahu_OnshoreWind_OnWind_506	2035	0
Oahu_OnshoreWind_OnWind_506	2040	0
Oahu_OnshoreWind_OnWind_507	2020	0
Oahu_OnshoreWind_OnWind_507	2022	0
Oahu_OnshoreWind_OnWind_507	2025	0
Oahu_OnshoreWind_OnWind_507	2030	0
Oahu_OnshoreWind_OnWind_507	2035	0
Oahu_OnshoreWind_OnWind_507	2040	0
Oahu_OnshoreWind_OnWind_508	2020	0
Oahu_OnshoreWind_OnWind_508	2022	0
Oahu_OnshoreWind_OnWind_508	2025	0
Oahu_OnshoreWind_OnWind_508	2030	0
Oahu_OnshoreWind_OnWind_508	2035	0
Oahu_OnshoreWind_OnWind_508	2040	0
Oahu_OnshoreWind_OnWind_509	2020	0
Oahu_OnshoreWind_OnWind_509	2022	0
Oahu_OnshoreWind_OnWind_509	2025	0
Oahu_OnshoreWind_OnWind_509	2030	0
Oahu_OnshoreWind_OnWind_509	2035	0
Oahu_OnshoreWind_OnWind_509	2040	0
Oahu_OnshoreWind_OnWind_Kahuku	2020	0
Oahu_OnshoreWind_OnWind_Kahuku	2022	0
Oahu_OnshoreWind_OnWind_Kahuku	2025	0
Oahu_OnshoreWind_OnWind_Kahuku	2030	0
Oahu_OnshoreWind_OnWind_Kahuku	2035	0
Oahu_OnshoreWind_OnWind_Kahuku	2040	30
Oahu_OnshoreWind_OnWind_Kawailoa	2020	0
Oahu_OnshoreWind_OnWind_Kawailoa	2022	0
Oahu_OnshoreWind_OnWind_Kawailoa	2025	0
Oahu_OnshoreWind_OnWind_Kawailoa	2030	0
Oahu_OnshoreWind_OnWind_Kawailoa	2035	0
Oahu_OnshoreWind_OnWind_Kawailoa	2040	69
