GEN_TPS_1	GEN_TPS_2	gen_predetermined_commit
Oahu_Coal_Generic	2020100222	185
Oahu_Coal_Generic	2020120200	185
Oahu_Coal_Generic	2020120202	185
Oahu_Coal_Generic	2020120204	185
Oahu_Coal_Generic	2020120206	185
Oahu_Coal_Generic	2020120208	185
Oahu_Coal_Generic	2020120210	185
Oahu_Coal_Generic	2020120212	185
Oahu_Coal_Generic	2020120214	185
Oahu_Coal_Generic	2020120216	185
Oahu_Coal_Generic	2020120218	185
Oahu_Coal_Generic	2020120220	185
Oahu_Coal_Generic	2020120222	185
Oahu_Coal_Generic	2022020600	185
Oahu_Coal_Generic	2022020602	185
Oahu_Coal_Generic	2022020604	185
Oahu_Coal_Generic	2022020606	185
Oahu_Coal_Generic	2022020608	185
Oahu_Coal_Generic	2022020610	185
Oahu_Coal_Generic	2022020612	185
Oahu_Coal_Generic	2022020614	185
Oahu_Coal_Generic	2022020616	185
Oahu_Coal_Generic	2022020618	185
Oahu_Coal_Generic	2022020620	185
Oahu_Coal_Generic	2022020622	185
Oahu_Coal_Generic	2022040600	185
Oahu_Coal_Generic	2022040602	185
Oahu_Coal_Generic	2022040604	185
Oahu_Coal_Generic	2022040606	185
Oahu_Coal_Generic	2022040608	185
Oahu_Coal_Generic	2022040610	185
Oahu_Coal_Generic	2022040612	185
Oahu_Coal_Generic	2022040614	185
Oahu_Coal_Generic	2022040616	185
Oahu_Coal_Generic	2022040618	185
Oahu_Coal_Generic	2022040620	185
Oahu_Coal_Generic	2022040622	185
Oahu_Coal_Generic	2022060600	185
Oahu_Coal_Generic	2022060602	185
Oahu_Coal_Generic	2022060604	185
Oahu_Coal_Generic	2022060606	185
Oahu_Coal_Generic	2022060608	185
Oahu_Coal_Generic	2022060610	185
Oahu_Coal_Generic	2022060612	185
Oahu_Coal_Generic	2022060614	185
Oahu_Coal_Generic	2022060616	185
Oahu_Coal_Generic	2022060618	185
Oahu_Coal_Generic	2022060620	185
Oahu_Coal_Generic	2022060622	185
Oahu_Coal_Generic	2022080600	185
Oahu_Coal_Generic	2022080602	185
Oahu_Coal_Generic	2022080604	185
Oahu_Coal_Generic	2022080606	185
Oahu_Coal_Generic	2022080608	185
Oahu_Coal_Generic	2022080610	185
Oahu_Coal_Generic	2022080612	185
Oahu_Coal_Generic	2022080614	185
Oahu_Coal_Generic	2022080616	185
Oahu_Coal_Generic	2022080618	185
Oahu_Coal_Generic	2022080620	185
Oahu_Coal_Generic	2022080622	185
Oahu_Coal_Generic	2022100600	185
Oahu_Coal_Generic	2022100602	185
Oahu_Coal_Generic	2022100604	185
Oahu_Coal_Generic	2022100606	185
Oahu_Coal_Generic	2022100608	185
Oahu_Coal_Generic	2022100610	185
Oahu_Coal_Generic	2022100612	185
Oahu_Coal_Generic	2022100614	185
Oahu_Coal_Generic	2022100616	185
Oahu_Coal_Generic	2022100618	185
Oahu_Coal_Generic	2022100620	185
Oahu_Coal_Generic	2022100622	185
Oahu_Coal_Generic	2022120600	185
Oahu_Coal_Generic	2022120602	185
Oahu_Coal_Generic	2022120604	185
Oahu_Coal_Generic	2022120606	185
Oahu_Coal_Generic	2022120608	185
Oahu_Coal_Generic	2022120610	185
Oahu_Coal_Generic	2022120612	185
Oahu_Coal_Generic	2022120614	185
Oahu_Coal_Generic	2022120616	185
Oahu_Coal_Generic	2022120618	185
Oahu_Coal_Generic	2022120620	185
Oahu_Coal_Generic	2022120622	185
Oahu_Coal_Generic	2025021000	128.5808391
Oahu_Coal_Generic	2025021002	185
Oahu_Coal_Generic	2025021004	185
Oahu_Coal_Generic	2025021006	185
Oahu_Coal_Generic	2025021008	185
Oahu_Coal_Generic	2025021010	185
Oahu_Coal_Generic	2025021012	185
Oahu_Coal_Generic	2025021014	185
Oahu_Coal_Generic	2025021016	185
Oahu_Coal_Generic	2025021018	185
Oahu_Coal_Generic	2025021020	185
Oahu_Coal_Generic	2025021022	185
Oahu_Coal_Generic	2025041000	185
Oahu_Coal_Generic	2025041002	185
Oahu_Coal_Generic	2025041004	185
Oahu_Coal_Generic	2025041006	185
Oahu_Coal_Generic	2025041008	185
Oahu_Coal_Generic	2025041010	185
Oahu_Coal_Generic	2025041012	185
Oahu_Coal_Generic	2025041014	185
Oahu_Coal_Generic	2025041016	185
Oahu_Coal_Generic	2025041018	185
Oahu_Coal_Generic	2025041020	185
Oahu_Coal_Generic	2025041022	185
Oahu_Coal_Generic	2025061000	185
Oahu_Coal_Generic	2025061002	185
Oahu_Coal_Generic	2025061004	185
Oahu_Coal_Generic	2025061006	185
Oahu_Coal_Generic	2025061008	185
Oahu_Coal_Generic	2025061010	185
Oahu_Coal_Generic	2025061012	185
Oahu_Coal_Generic	2025061014	185
Oahu_Coal_Generic	2025061016	185
Oahu_Coal_Generic	2025061018	185
Oahu_Coal_Generic	2025061020	185
Oahu_Coal_Generic	2025061022	185
Oahu_Coal_Generic	2025081000	174.1652494
Oahu_Coal_Generic	2025081002	185
Oahu_Coal_Generic	2025081004	0
Oahu_Coal_Generic	2025081006	8.369165532
Oahu_Coal_Generic	2025081008	0
Oahu_Coal_Generic	2025081010	185
