PERIOD	carbon_cap_tco2_per_yr	carbon_cost_dollar_per_tco2	carbon_cap_tco2_per_yr_floor
2020	1.00E+17	.	5.72307E+06
2022	1.00E+17	.	6.08133E+06
2025	1.00E+17	.	5.46361E+06
2030	1.00E+17	.	4.45667E+06
2035	1.00E+17	.	5.45100E+06
2040	1.00E+17	.	4.14243E+06
2045	1.00E+17	.	0
2050	1.00E+17	.	0
2055	1.00E+17	.	0
2060	1.00E+17	.	0
2065	1.00E+17	.	0
2070	1.00E+17	.	0
2075	1.00E+17	.	0
2080	1.00E+17	.	0
2085	1.00E+17	.	0
2090	1.00E+17	.	0
2095	1.00E+17	.	0
