TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
20170126	2017	2.0	12	30.4375
20170226	2017	2.0	12	30.4375
20170326	2017	2.0	12	30.4375
20170426	2017	2.0	12	30.4375
20170526	2017	2.0	12	30.4375
20170626	2017	2.0	12	30.4375
20170726	2017	2.0	12	30.4375
20170826	2017	2.0	12	30.4375
20170926	2017	2.0	12	30.4375
20171026	2017	2.0	12	30.4375
20171126	2017	2.0	12	30.4375
20171226	2017	2.0	12	30.4375
