LOAD_ZONE	TIMEPOINT	zone_demand_mw
Oahu	2017012600	665.4671774
Oahu	2017012602	630.1841272
Oahu	2017012604	677.9391258
Oahu	2017012606	853.2186611
Oahu	2017012608	908.6812245
Oahu	2017012610	941.2081252
Oahu	2017012612	951.7618683
Oahu	2017012614	944.6775734
Oahu	2017012616	928.5422133
Oahu	2017012618	957.4472931
Oahu	2017012620	884.5682555
Oahu	2017012622	775.7968038
Oahu	2017022600	654.2568124
Oahu	2017022602	623.4999981
Oahu	2017022604	671.4901878
Oahu	2017022606	833.4685772
Oahu	2017022608	890.0965946
Oahu	2017022610	926.8935548
Oahu	2017022612	947.6679618
Oahu	2017022614	945.6686015
Oahu	2017022616	944.7746212
Oahu	2017022618	992.0256423
Oahu	2017022620	917.9741186
Oahu	2017022622	762.2822934
Oahu	2017032600	657.2540564
Oahu	2017032602	627.9750401
Oahu	2017032604	664.469971
Oahu	2017032606	784.9101282
Oahu	2017032608	888.9656767
Oahu	2017032610	933.7014134
Oahu	2017032612	941.3189494
Oahu	2017032614	938.2649863
Oahu	2017032616	938.5212091
Oahu	2017032618	975.126922
Oahu	2017032620	912.081397
Oahu	2017032622	776.0322312
Oahu	2017042600	719.4099969
Oahu	2017042602	701.873916
Oahu	2017042604	648.9769751
Oahu	2017042606	739.9168886
Oahu	2017042608	875.6087088
Oahu	2017042610	925.4926449
Oahu	2017042612	925.5559788
Oahu	2017042614	918.2698205
Oahu	2017042616	914.6372683
Oahu	2017042618	916.6788226
Oahu	2017042620	890.3148261
Oahu	2017042622	790.1668642
Oahu	2017052600	702.8000102
Oahu	2017052602	660.4188015
Oahu	2017052604	667.9116919
Oahu	2017052606	756.2197227
Oahu	2017052608	883.7649703
Oahu	2017052610	922.2820412
Oahu	2017052612	919.9759512
Oahu	2017052614	912.365347
Oahu	2017052616	911.2781541
Oahu	2017052618	895.7106518
Oahu	2017052620	887.0404973
Oahu	2017052622	792.1883444
Oahu	2017062600	715.9112453
Oahu	2017062602	676.8967361
Oahu	2017062604	718.0231802
Oahu	2017062606	861.8600347
Oahu	2017062608	963.7608957
Oahu	2017062610	1015.285027
Oahu	2017062612	1023.127356
Oahu	2017062614	1020.733813
Oahu	2017062616	1002.500843
Oahu	2017062618	974.7640802
Oahu	2017062620	974.1445759
Oahu	2017062622	838.7836049
Oahu	2017072600	725.0640073
Oahu	2017072602	684.2755476
Oahu	2017072604	722.5709701
Oahu	2017072606	863.7447193
Oahu	2017072608	968.2226846
Oahu	2017072610	1022.424929
Oahu	2017072612	1036.21954
Oahu	2017072614	1032.258442
Oahu	2017072616	1012.625991
Oahu	2017072618	980.1545025
Oahu	2017072620	966.4706311
Oahu	2017072622	834.2579182
Oahu	2017082600	739.825368
Oahu	2017082602	700.8883291
Oahu	2017082604	750.9200731
Oahu	2017082606	907.9846646
Oahu	2017082608	992.57468
Oahu	2017082610	1045.366007
Oahu	2017082612	1064.999973
Oahu	2017082614	1059.635661
Oahu	2017082616	1023.500485
Oahu	2017082618	1028.189005
Oahu	2017082620	980.0861116
Oahu	2017082622	838.8117485
Oahu	2017092600	722.1346897
Oahu	2017092602	689.1576873
Oahu	2017092604	729.9600105
Oahu	2017092606	893.9170497
Oahu	2017092608	973.0355486
Oahu	2017092610	1008.450176
Oahu	2017092612	1018.837725
Oahu	2017092614	1021.995581
Oahu	2017092616	1002.764751
Oahu	2017092618	1033.075633
Oahu	2017092620	951.3948213
Oahu	2017092622	812.8803455
Oahu	2017102600	695.7352027
Oahu	2017102602	657.4388082
Oahu	2017102604	665.6542231
Oahu	2017102606	724.9854931
Oahu	2017102608	833.0461644
Oahu	2017102610	877.4672219
Oahu	2017102612	880.0226666
Oahu	2017102614	869.962789
Oahu	2017102616	893.158883
Oahu	2017102618	955.918567
Oahu	2017102620	884.2394898
Oahu	2017102622	763.4156882
Oahu	2017112600	681.0831177
Oahu	2017112602	646.4995026
Oahu	2017112604	695.1270621
Oahu	2017112606	853.2324825
Oahu	2017112608	939.4630034
Oahu	2017112610	984.5173069
Oahu	2017112612	1005.08462
Oahu	2017112614	1006.227268
Oahu	2017112616	994.918635
Oahu	2017112618	1040.090695
Oahu	2017112620	956.9209839
Oahu	2017112622	807.8943135
Oahu	2017122600	668.1603842
Oahu	2017122602	637.4880438
Oahu	2017122604	663.9153743
Oahu	2017122606	772.7082106
Oahu	2017122608	869.941692
Oahu	2017122610	921.0364501
Oahu	2017122612	916.9603881
Oahu	2017122614	903.6552238
Oahu	2017122616	898.3753864
Oahu	2017122618	234.6082988
Oahu	2017122620	203.710691
Oahu	2017122622	203.710691
