GEN_TPS_1	GEN_TPS_2	gen_predetermined_dispatch
Oahu_AES	2017012600	185
Oahu_AES	2017012602	185
Oahu_AES	2017012604	185
Oahu_AES	2017012606	185
Oahu_AES	2017012608	185
Oahu_AES	2017012610	185
Oahu_AES	2017012612	185
Oahu_AES	2017012614	185
Oahu_AES	2017012616	185
Oahu_AES	2017012618	185
Oahu_AES	2017012620	185
Oahu_AES	2017012622	185
Oahu_AES	2017022600	185
Oahu_AES	2017022602	185
Oahu_AES	2017022604	185
Oahu_AES	2017022606	185
Oahu_AES	2017022608	185
Oahu_AES	2017022610	185
Oahu_AES	2017022612	185
Oahu_AES	2017022614	185
Oahu_AES	2017022616	185
Oahu_AES	2017022618	185
Oahu_AES	2017022620	185
Oahu_AES	2017022622	185
Oahu_AES	2017032600	185
Oahu_AES	2017032602	185
Oahu_AES	2017032604	185
Oahu_AES	2017032606	185
Oahu_AES	2017032608	185
Oahu_AES	2017032610	185
Oahu_AES	2017032612	185
Oahu_AES	2017032614	185
Oahu_AES	2017032616	185
Oahu_AES	2017032618	185
Oahu_AES	2017032620	185
Oahu_AES	2017032622	185
Oahu_Airport_DSG	2017012600	0
Oahu_Airport_DSG	2017012602	0
Oahu_Airport_DSG	2017012604	0
Oahu_Airport_DSG	2017012606	0
Oahu_Airport_DSG	2017012608	0
Oahu_Airport_DSG	2017012610	0
Oahu_Airport_DSG	2017012612	0
Oahu_Airport_DSG	2017012614	0
Oahu_Airport_DSG	2017012616	0
Oahu_Airport_DSG	2017012618	0
Oahu_Airport_DSG	2017012620	0
Oahu_Airport_DSG	2017012622	0
Oahu_Airport_DSG	2017022600	0
Oahu_Airport_DSG	2017022602	0
Oahu_Airport_DSG	2017022604	0
Oahu_Airport_DSG	2017022606	0
Oahu_Airport_DSG	2017022608	0
Oahu_Airport_DSG	2017022610	0
Oahu_Airport_DSG	2017022612	0
Oahu_Airport_DSG	2017022614	0
Oahu_Airport_DSG	2017022616	0
Oahu_Airport_DSG	2017022618	0
Oahu_Airport_DSG	2017022620	0
Oahu_Airport_DSG	2017022622	0
Oahu_Airport_DSG	2017032600	0
Oahu_Airport_DSG	2017032602	0
Oahu_Airport_DSG	2017032604	0
Oahu_Airport_DSG	2017032606	0
Oahu_Airport_DSG	2017032608	0
Oahu_Airport_DSG	2017032610	0
Oahu_Airport_DSG	2017032612	0
Oahu_Airport_DSG	2017032614	0
Oahu_Airport_DSG	2017032616	0
Oahu_Airport_DSG	2017032618	0
Oahu_Airport_DSG	2017032620	0
Oahu_Airport_DSG	2017032622	0
Oahu_CC_152	2017012600	0
Oahu_CC_152	2017012602	0
Oahu_CC_152	2017012604	0
Oahu_CC_152	2017012606	0
Oahu_CC_152	2017012608	0
Oahu_CC_152	2017012610	0
Oahu_CC_152	2017012612	0
Oahu_CC_152	2017012614	0
Oahu_CC_152	2017012616	0
Oahu_CC_152	2017012618	0
Oahu_CC_152	2017012620	0
Oahu_CC_152	2017012622	0
Oahu_CC_152	2017022600	0
Oahu_CC_152	2017022602	0
Oahu_CC_152	2017022604	0
Oahu_CC_152	2017022606	0
Oahu_CC_152	2017022608	0
Oahu_CC_152	2017022610	0
Oahu_CC_152	2017022612	0
Oahu_CC_152	2017022614	0
Oahu_CC_152	2017022616	0
Oahu_CC_152	2017022618	0
Oahu_CC_152	2017022620	0
Oahu_CC_152	2017022622	0
Oahu_CC_152	2017032600	0
Oahu_CC_152	2017032602	0
Oahu_CC_152	2017032604	0
Oahu_CC_152	2017032606	0
Oahu_CC_152	2017032608	0
Oahu_CC_152	2017032610	0
Oahu_CC_152	2017032612	0
Oahu_CC_152	2017032614	0
Oahu_CC_152	2017032616	0
Oahu_CC_152	2017032618	0
Oahu_CC_152	2017032620	0
Oahu_CC_152	2017032622	0
Oahu_CIP_CT	2017012600	0
Oahu_CIP_CT	2017012602	0
Oahu_CIP_CT	2017012604	0
Oahu_CIP_CT	2017012606	0
Oahu_CIP_CT	2017012608	0
Oahu_CIP_CT	2017012610	0
Oahu_CIP_CT	2017012612	0
Oahu_CIP_CT	2017012614	0
Oahu_CIP_CT	2017012616	0
Oahu_CIP_CT	2017012618	0
Oahu_CIP_CT	2017012620	0
Oahu_CIP_CT	2017012622	0
Oahu_CIP_CT	2017022600	0
Oahu_CIP_CT	2017022602	0
Oahu_CIP_CT	2017022604	0
Oahu_CIP_CT	2017022606	0
Oahu_CIP_CT	2017022608	0
Oahu_CIP_CT	2017022610	0
Oahu_CIP_CT	2017022612	0
Oahu_CIP_CT	2017022614	0
Oahu_CIP_CT	2017022616	0
Oahu_CIP_CT	2017022618	0
Oahu_CIP_CT	2017022620	0
Oahu_CIP_CT	2017022622	0
Oahu_CIP_CT	2017032600	0
Oahu_CIP_CT	2017032602	0
Oahu_CIP_CT	2017032604	0
Oahu_CIP_CT	2017032606	0
Oahu_CIP_CT	2017032608	0
Oahu_CIP_CT	2017032610	0
Oahu_CIP_CT	2017032612	0
Oahu_CIP_CT	2017032614	0
Oahu_CIP_CT	2017032616	0
Oahu_CIP_CT	2017032618	0
Oahu_CIP_CT	2017032620	0
Oahu_CIP_CT	2017032622	0
Oahu_CentralTrackingPV_PV_01	2017012600	0
Oahu_CentralTrackingPV_PV_01	2017012602	0
Oahu_CentralTrackingPV_PV_01	2017012604	0
Oahu_CentralTrackingPV_PV_01	2017012606	0
Oahu_CentralTrackingPV_PV_01	2017012608	15.3430056
Oahu_CentralTrackingPV_PV_01	2017012610	26.2398996
Oahu_CentralTrackingPV_PV_01	2017012612	25.1394324
Oahu_CentralTrackingPV_PV_01	2017012614	17.554014
Oahu_CentralTrackingPV_PV_01	2017012616	11.2588404
Oahu_CentralTrackingPV_PV_01	2017012618	0
Oahu_CentralTrackingPV_PV_01	2017012620	0
Oahu_CentralTrackingPV_PV_01	2017012622	0
Oahu_CentralTrackingPV_PV_01	2017022600	0
Oahu_CentralTrackingPV_PV_01	2017022602	0
Oahu_CentralTrackingPV_PV_01	2017022604	0
Oahu_CentralTrackingPV_PV_01	2017022606	0
Oahu_CentralTrackingPV_PV_01	2017022608	20.8315692
Oahu_CentralTrackingPV_PV_01	2017022610	27.5910852
Oahu_CentralTrackingPV_PV_01	2017022612	21.4927824
Oahu_CentralTrackingPV_PV_01	2017022614	21.2342532
Oahu_CentralTrackingPV_PV_01	2017022616	15.5558016
Oahu_CentralTrackingPV_PV_01	2017022618	0
Oahu_CentralTrackingPV_PV_01	2017022620	0
Oahu_CentralTrackingPV_PV_01	2017022622	0
Oahu_CentralTrackingPV_PV_01	2017032600	0
Oahu_CentralTrackingPV_PV_01	2017032602	0
Oahu_CentralTrackingPV_PV_01	2017032604	0
Oahu_CentralTrackingPV_PV_01	2017032606	0
Oahu_CentralTrackingPV_PV_01	2017032608	18.0828852
Oahu_CentralTrackingPV_PV_01	2017032610	25.7843064
Oahu_CentralTrackingPV_PV_01	2017032612	23.5493688
Oahu_CentralTrackingPV_PV_01	2017032614	14.334888
Oahu_CentralTrackingPV_PV_01	2017032616	4.3774152
Oahu_CentralTrackingPV_PV_01	2017032618	0.275953908
Oahu_CentralTrackingPV_PV_01	2017032620	0
Oahu_CentralTrackingPV_PV_01	2017032622	0
Oahu_CentralTrackingPV_PV_02	2017012600	0
Oahu_CentralTrackingPV_PV_02	2017012602	0
Oahu_CentralTrackingPV_PV_02	2017012604	0
Oahu_CentralTrackingPV_PV_02	2017012606	0
Oahu_CentralTrackingPV_PV_02	2017012608	0
Oahu_CentralTrackingPV_PV_02	2017012610	0
Oahu_CentralTrackingPV_PV_02	2017012612	0
Oahu_CentralTrackingPV_PV_02	2017012614	0
Oahu_CentralTrackingPV_PV_02	2017012616	0
Oahu_CentralTrackingPV_PV_02	2017012618	0
Oahu_CentralTrackingPV_PV_02	2017012620	0
Oahu_CentralTrackingPV_PV_02	2017012622	0
Oahu_CentralTrackingPV_PV_02	2017022600	0
Oahu_CentralTrackingPV_PV_02	2017022602	0
Oahu_CentralTrackingPV_PV_02	2017022604	0
Oahu_CentralTrackingPV_PV_02	2017022606	0
Oahu_CentralTrackingPV_PV_02	2017022608	0
Oahu_CentralTrackingPV_PV_02	2017022610	0
Oahu_CentralTrackingPV_PV_02	2017022612	0
Oahu_CentralTrackingPV_PV_02	2017022614	0
Oahu_CentralTrackingPV_PV_02	2017022616	0
Oahu_CentralTrackingPV_PV_02	2017022618	0
Oahu_CentralTrackingPV_PV_02	2017022620	0
Oahu_CentralTrackingPV_PV_02	2017022622	0
Oahu_CentralTrackingPV_PV_02	2017032600	0
Oahu_CentralTrackingPV_PV_02	2017032602	0
Oahu_CentralTrackingPV_PV_02	2017032604	0
Oahu_CentralTrackingPV_PV_02	2017032606	0
Oahu_CentralTrackingPV_PV_02	2017032608	0
Oahu_CentralTrackingPV_PV_02	2017032610	0
Oahu_CentralTrackingPV_PV_02	2017032612	0
Oahu_CentralTrackingPV_PV_02	2017032614	0
Oahu_CentralTrackingPV_PV_02	2017032616	0
Oahu_CentralTrackingPV_PV_02	2017032618	0
Oahu_CentralTrackingPV_PV_02	2017032620	0
Oahu_CentralTrackingPV_PV_02	2017032622	0
Oahu_CentralTrackingPV_PV_03	2017012600	0
Oahu_CentralTrackingPV_PV_03	2017012602	0
Oahu_CentralTrackingPV_PV_03	2017012604	0
Oahu_CentralTrackingPV_PV_03	2017012606	0
Oahu_CentralTrackingPV_PV_03	2017012608	0
Oahu_CentralTrackingPV_PV_03	2017012610	0
Oahu_CentralTrackingPV_PV_03	2017012612	0
Oahu_CentralTrackingPV_PV_03	2017012614	0
Oahu_CentralTrackingPV_PV_03	2017012616	0
Oahu_CentralTrackingPV_PV_03	2017012618	0
