Projects	Period	extraction_offshore_share_ub	extraction_shale_share_ub	extraction_surface_ub	extraction_offshore_share_lb	extraction_shale_share_lb	extraction_surface_lb
Coal	2017	1	1	0.66	0	0	0.64
LNG	2017	0.07	0.4	1	0.05	0.3	0
Oil	2017	0.21	0.4	1	0.19	0.3	0
Coal	2018	1	1	0.704	0	0	0.6006
LNG	2018	0.07466667	0.42666667	1	0.0469	0.2815	0
Oil	2018	0.224	0.42666667	1	0.1783	0.2815	0
