GENERATION_PROJECT	PERIOD	extraction_share_lb	extraction_share_ub
Mines_Coal_Surface	2017	0.64	0.66
Wells_Offshore_Gas	2017	0.05	0.07
Wells_Offshore_Oil	2017	0.19	0.21
Wells_Shale_Gas	2017	0.3	0.4
Wells_Shale_Oil	2017	0.3	0.4
Mines_Coal_Surface	2018	0.64	0.66
Wells_Offshore_Gas	2018	0.05	0.07
Wells_Offshore_Oil	2018	0.19	0.21
Wells_Shale_Gas	2018	0.3	0.4
Wells_Shale_Oil	2018	0.3	0.4
