regional_fuel_market	fuel	tier	period	unit_cost	original_unadjusted
Hawaii_LNG	LNG	bulk_10	2030	9.738686111	15.45902804
Hawaii_LNG	LNG	bulk_10	2035	11.05148565	17.54294415
Hawaii_LNG	LNG	bulk_10	2040	12.68062871	20.12901869
Hawaii_LNG	LNG	bulk_10	2045	13.86760114	22.01319894
Hawaii_LNG	LNG	bulk_10	2050	14.14495316	22.45346292
Hawaii_LNG	LNG	bulk_10	2055	14.42785222	22.90253218
Hawaii_LNG	LNG	bulk_10	2060	14.71640927	23.36058282
Hawaii_LNG	LNG	bulk_10	2065	15.01073745	23.82779448
Hawaii_LNG	LNG	bulk_10	2070	15.3109522	24.30435037
Hawaii_LNG	LNG	bulk_10	2075	15.61717125	24.79043738
Hawaii_LNG	LNG	bulk_10	2080	15.92951467	25.28624612
Hawaii_LNG	LNG	bulk_10	2085	16.24810497	25.79197105
Hawaii_LNG	LNG	bulk_10	2090	16.57306706	26.30781047
Hawaii_LNG	LNG	bulk_10	2095	16.90452841	26.83396668
Hawaii_LNG	LNG	bulk_15	2020	7.026605462	11.15391641
Hawaii_LNG	LNG	bulk_15	2022	7.719427088	12.25368991
Hawaii_LNG	LNG	bulk_15	2025	8.576342638	13.61394338
Hawaii_LNG	LNG	bulk_15	2030	9.738686111	15.45902804
Hawaii_LNG	LNG	bulk_15	2035	11.05148565	17.54294415
Hawaii_LNG	LNG	bulk_15	2040	12.68062871	20.12901869
Hawaii_LNG	LNG	bulk_15	2045	13.86760114	22.01319894
Hawaii_LNG	LNG	bulk_15	2050	14.14495316	22.45346292
Hawaii_LNG	LNG	bulk_15	2055	14.42785222	22.90253218
Hawaii_LNG	LNG	bulk_15	2060	14.71640927	23.36058282
Hawaii_LNG	LNG	bulk_15	2065	15.01073745	23.82779448
Hawaii_LNG	LNG	bulk_15	2070	15.3109522	24.30435037
Hawaii_LNG	LNG	bulk_15	2075	15.61717125	24.79043738
Hawaii_LNG	LNG	bulk_15	2080	15.92951467	25.28624612
Hawaii_LNG	LNG	bulk_15	2085	16.24810497	25.79197105
Hawaii_LNG	LNG	bulk_15	2090	16.57306706	26.30781047
Hawaii_LNG	LNG	bulk_15	2095	16.90452841	26.83396668
Hawaii_LNG	LNG	bulk_20	2020	7.026605462	11.15391641
Hawaii_LNG	LNG	bulk_20	2022	7.719427088	12.25368991
Hawaii_LNG	LNG	bulk_20	2025	8.576342638	13.61394338
Hawaii_LNG	LNG	bulk_20	2030	9.738686111	15.45902804
Hawaii_LNG	LNG	bulk_20	2035	11.05148565	17.54294415
Hawaii_LNG	LNG	bulk_20	2040	12.68062871	20.12901869
Hawaii_LNG	LNG	bulk_20	2045	13.86760114	22.01319894
Hawaii_LNG	LNG	bulk_20	2050	14.14495316	22.45346292
Hawaii_LNG	LNG	bulk_20	2055	14.42785222	22.90253218
Hawaii_LNG	LNG	bulk_20	2060	14.71640927	23.36058282
Hawaii_LNG	LNG	bulk_20	2065	15.01073745	23.82779448
Hawaii_LNG	LNG	bulk_20	2070	15.3109522	24.30435037
Hawaii_LNG	LNG	bulk_20	2075	15.61717125	24.79043738
Hawaii_LNG	LNG	bulk_20	2080	15.92951467	25.28624612
Hawaii_LNG	LNG	bulk_20	2085	16.24810497	25.79197105
Hawaii_LNG	LNG	bulk_20	2090	16.57306706	26.30781047
Hawaii_LNG	LNG	bulk_20	2095	16.90452841	26.83396668
Hawaii_LNG	LNG	bulk_25	2020	7.026605462	11.15391641
Hawaii_LNG	LNG	bulk_25	2022	7.719427088	12.25368991
Hawaii_LNG	LNG	bulk_25	2025	8.576342638	13.61394338
Hawaii_LNG	LNG	bulk_25	2030	9.738686111	15.45902804
Hawaii_LNG	LNG	bulk_25	2035	11.05148565	17.54294415
Hawaii_LNG	LNG	bulk_25	2040	12.68062871	20.12901869
Hawaii_LNG	LNG	bulk_25	2045	13.86760114	22.01319894
Hawaii_LNG	LNG	bulk_25	2050	14.14495316	22.45346292
Hawaii_LNG	LNG	bulk_25	2055	14.42785222	22.90253218
Hawaii_LNG	LNG	bulk_25	2060	14.71640927	23.36058282
Hawaii_LNG	LNG	bulk_25	2065	15.01073745	23.82779448
Hawaii_LNG	LNG	bulk_25	2070	15.3109522	24.30435037
Hawaii_LNG	LNG	bulk_25	2075	15.61717125	24.79043738
Hawaii_LNG	LNG	bulk_25	2080	15.92951467	25.28624612
Hawaii_LNG	LNG	bulk_25	2085	16.24810497	25.79197105
Hawaii_LNG	LNG	bulk_25	2090	16.57306706	26.30781047
Hawaii_LNG	LNG	bulk_25	2095	16.90452841	26.83396668
Hawaii_LNG	LNG	bulk_30	2020	7.026605462	11.15391641
Hawaii_LNG	LNG	bulk_30	2022	7.719427088	12.25368991
Hawaii_LNG	LNG	bulk_30	2025	8.576342638	13.61394338
Hawaii_LNG	LNG	bulk_30	2030	9.738686111	15.45902804
Hawaii_LNG	LNG	bulk_30	2035	11.05148565	17.54294415
