GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
Oahu_CentralTrackingPV_PV_04	2055	1415952.115	22970
Oahu_CentralTrackingPV_PV_04	2060	1415952.115	22970
Oahu_CentralTrackingPV_PV_04	2065	1415952.115	22970
Oahu_CentralTrackingPV_PV_04	2070	1415952.115	22970
Oahu_CentralTrackingPV_PV_04	2075	1415952.115	22970
Oahu_CentralTrackingPV_PV_04	2080	1415952.115	22970
Oahu_CentralTrackingPV_PV_04	2085	1415952.115	22970
Oahu_CentralTrackingPV_PV_04	2090	1415952.115	22970
Oahu_CentralTrackingPV_PV_04	2095	1415952.115	22970
Oahu_CentralTrackingPV_PV_05	2020	2506345.173	22970
Oahu_CentralTrackingPV_PV_05	2022	2344828.558	22970
Oahu_CentralTrackingPV_PV_05	2025	2153676.338	22970
Oahu_CentralTrackingPV_PV_05	2030	1925018.94	22970
Oahu_CentralTrackingPV_PV_05	2035	1737692.233	22970
Oahu_CentralTrackingPV_PV_05	2040	1568594.592	22970
Oahu_CentralTrackingPV_PV_05	2045	1415952.115	22970
Oahu_CentralTrackingPV_PV_05	2050	1415952.115	22970
Oahu_CentralTrackingPV_PV_05	2055	1415952.115	22970
Oahu_CentralTrackingPV_PV_05	2060	1415952.115	22970
Oahu_CentralTrackingPV_PV_05	2065	1415952.115	22970
Oahu_CentralTrackingPV_PV_05	2070	1415952.115	22970
Oahu_CentralTrackingPV_PV_05	2075	1415952.115	22970
Oahu_CentralTrackingPV_PV_05	2080	1415952.115	22970
Oahu_CentralTrackingPV_PV_05	2085	1415952.115	22970
Oahu_CentralTrackingPV_PV_05	2090	1415952.115	22970
Oahu_CentralTrackingPV_PV_05	2095	1415952.115	22970
Oahu_CentralTrackingPV_PV_06	2020	2506345.173	22970
Oahu_CentralTrackingPV_PV_06	2022	2344828.558	22970
Oahu_CentralTrackingPV_PV_06	2025	2153676.338	22970
Oahu_CentralTrackingPV_PV_06	2030	1925018.94	22970
Oahu_CentralTrackingPV_PV_06	2035	1737692.233	22970
Oahu_CentralTrackingPV_PV_06	2040	1568594.592	22970
Oahu_CentralTrackingPV_PV_06	2045	1415952.115	22970
Oahu_CentralTrackingPV_PV_06	2050	1415952.115	22970
Oahu_CentralTrackingPV_PV_06	2055	1415952.115	22970
Oahu_CentralTrackingPV_PV_06	2060	1415952.115	22970
Oahu_CentralTrackingPV_PV_06	2065	1415952.115	22970
Oahu_CentralTrackingPV_PV_06	2070	1415952.115	22970
Oahu_CentralTrackingPV_PV_06	2075	1415952.115	22970
